fecha_hora,modelo,input_tokens,output_tokens,costo_usd
2025-10-29 16:14:22,gpt-4o-mini,1239,336,0.00038745
2025-10-29 16:15:36,gpt-4o-mini,684,324,0.000297
2025-10-29 16:28:48,gpt-4o-mini,749,257,0.00026654999999999995
2025-10-29 16:28:53,gpt-4o-mini,1965,293,0.00047054999999999997
2025-10-29 16:29:02,gpt-4o-mini,1966,334,0.0004953
2025-10-29 16:31:49,gpt-4o-mini,749,284,0.00028275
2025-10-29 16:31:52,gpt-4o-mini,1965,340,0.00049875
2025-10-29 16:31:58,gpt-4o-mini,1954,222,0.00042629999999999995
